lat,lon,pfz
14.8833,73.9961,1
14.8344,74.0117,1
14.8017,74.0342,1
14.7342,74.0642,1
14.5628,74.1936,1
14.4989,74.2578,1
14.4583,74.2697,1
14.3167,74.3389,1
14.2931,74.3494,1
14.2633,74.3592,1
14.2361,74.3344,1
14.1928,74.3286,1
14.1644,74.3433,1
14.0172,74.4108,1
13.9669,74.4075,1
13.7914,74.3483,1
13.7272,74.5644,1
13.6606,74.455,1
13.6175,74.5944,1
13.5256,74.6225,1
13.4758,74.5764,1
13.3372,74.6261,1
13.2869,74.6156,1
13.2536,74.6192,1
13.0764,74.7275,1
13.0436,74.7353,1
12.9769,74.7456,1
12.9278,74.7439,1
12.8661,74.73,1
13.1108,74.7384,0
13.3629,74.2421,0
14.7728,74.6175,0
13.2916,74.3945,0
14.6031,74.4333,0
13.5864,74.021,0
14.4261,74.4467,0
14.8694,74.3473,0
14.3701,74.6923,0
13.2602,74.537,0
14.8661,74.0299,0
13.891,74.2001,0
14.473,74.0366,0
13.1499,74.1591,0
13.6108,74.5237,0
13.8286,74.0614,0
13.229,74.3176,0
14.8671,74.0177,0
14.777,74.1326,0
14.2878,74.6742,0
